purchase_date,gmv_proxy,orders,items,active_sellers,active_customers,aov,late_orders,late_delivery_rate,avg_review_score
2017-08-31,20671.51,148,172,106,147,139.67236486486485,8,0.055944055944055944,4.243243243243243
2017-09-01,28473.13,158,183,107,155,180.2096835443038,8,0.05228758169934641,4.034810126582278
2017-09-02,18128.66,104,118,77,102,174.31403846153847,1,0.00980392156862745,4.538461538461538
2017-09-03,27795.41,125,142,90,125,222.36328,2,0.016260162601626018,4.404
2017-09-04,24937.98,148,161,97,144,168.49986486486486,7,0.047619047619047616,4.23489932885906
2017-09-05,20981.55,154,181,118,154,136.24383116883115,3,0.019867549668874173,4.04516129032258
2017-09-06,25624.61,140,157,99,139,183.03292857142858,11,0.07971014492753623,4.065217391304348
2017-09-07,16893.5,97,104,77,96,174.159793814433,4,0.041237113402061855,4.3061224489795915
2017-09-08,11883.47,115,133,94,113,103.33452173913042,6,0.05405405405405406,4.293103448275862
2017-09-09,15082.53,106,119,80,103,142.28801886792454,3,0.02912621359223301,4.105769230769231
2017-09-10,17810.27,135,152,103,134,131.92792592592593,10,0.07575757575757576,4.2388059701492535
2017-09-11,23376.78,178,193,129,178,131.33022471910112,9,0.05113636363636364,4.297752808988764
2017-09-12,27136.010000000002,204,244,135,200,133.0196568627451,19,0.095,4.073529411764706
2017-09-13,27593.28,205,228,128,203,134.60136585365854,18,0.08866995073891626,4.126829268292683
2017-09-14,22557.76,166,198,130,164,135.8901204819277,13,0.07975460122699386,4.042424242424242
2017-09-15,18373.26,150,165,116,149,122.48839999999998,9,0.0625,4.170068027210885
2017-09-16,21147.37,129,137,88,128,163.9331007751938,12,0.096,4.086614173228346
2017-09-17,19979.42,125,136,97,123,159.83535999999998,9,0.072,4.144
2017-09-18,28487.81,183,218,129,180,155.67109289617488,21,0.11731843575418995,4.15
2017-09-19,20057.95,153,179,106,151,131.09771241830066,14,0.09395973154362416,4.117647058823529
2017-09-20,22102.55,161,187,112,160,137.28291925465837,7,0.04430379746835443,4.271604938271605
2017-09-21,19015.53,150,176,101,150,126.77019999999999,3,0.020833333333333332,4.1466666666666665
2017-09-22,16255.12,136,153,94,133,119.5229411764706,3,0.022556390977443608,4.193430656934306
2017-09-23,10513.5,85,99,71,84,123.68823529411765,0,0.0,4.126436781609195
2017-09-24,13049.75,113,124,74,109,115.48451327433628,2,0.017857142857142856,4.233050847457627
2017-09-25,17987.1,133,154,96,133,135.24135338345863,1,0.007751937984496124,4.2
2017-09-26,21681.9,179,196,126,178,121.12793296089386,7,0.040229885057471264,4.377777777777778
2017-09-27,20646.920000000002,144,174,99,142,143.3813888888889,3,0.020833333333333332,4.301369863013699
2017-09-28,23264.52,142,165,105,142,163.83464788732394,3,0.02142857142857143,4.20979020979021
2017-09-29,30878.56,116,135,87,114,266.1944827586207,5,0.045871559633027525,4.095833333333333
2017-09-30,12685.49,109,120,86,109,116.38064220183486,3,0.02857142857142857,4.157407407407407
2017-10-01,18821.27,128,145,98,126,147.041171875,3,0.024193548387096774,4.11328125
2017-10-02,21764.65,142,166,109,142,153.27218309859157,2,0.014285714285714285,4.104895104895105
2017-10-03,26118.57,198,218,137,195,131.9119696969697,6,0.031088082901554404,4.116161616161616
2017-10-04,21197.7,157,171,117,155,135.0171974522293,1,0.00641025641025641,4.32258064516129
2017-10-05,25517.52,140,171,101,140,182.268,7,0.050724637681159424,3.9347826086956523
2017-10-06,17084.670000000002,126,154,103,124,135.59261904761905,11,0.08870967741935484,3.976923076923077
2017-10-07,15376.02,103,117,81,102,149.28174757281553,6,0.06,4.0285714285714285
2017-10-08,16539.010000000002,124,137,98,122,133.37911290322583,2,0.016129032258064516,4.277777777777778
2017-10-09,30337.79,191,223,124,189,158.83659685863876,14,0.0748663101604278,4.109947643979058
2017-10-10,28151.13,180,206,144,178,156.39516666666668,14,0.08,4.098360655737705
2017-10-11,22669.37,156,178,114,152,145.31647435897435,7,0.046357615894039736,4.151612903225806
2017-10-12,18754.23,140,158,94,139,133.9587857142857,5,0.03676470588235294,4.042253521126761
2017-10-13,22881.19,151,165,113,150,151.531059602649,11,0.07333333333333333,4.111111111111111
2017-10-14,13528.82,116,128,90,116,116.62775862068965,5,0.043859649122807015,4.243478260869566
2017-10-15,18751.85,120,137,86,120,156.26541666666665,5,0.042735042735042736,4.090909090909091
2017-10-16,30580.16,194,226,129,193,157.6296907216495,13,0.06914893617021277,4.169270833333333
2017-10-17,29675.77,197,259,137,194,150.6384263959391,19,0.09743589743589744,4.189054726368159
2017-10-18,27257.79,176,223,131,174,154.87380681818183,6,0.03409090909090909,4.213483146067416
2017-10-19,23223.71,175,195,126,172,132.70691428571428,8,0.046511627906976744,3.942857142857143
2017-10-20,18626.2,120,131,88,120,155.21833333333333,5,0.0423728813559322,4.064516129032258
2017-10-21,14982.45,110,124,89,108,136.20409090909092,3,0.028846153846153848,3.972972972972973
2017-10-22,19786.81,157,182,116,154,126.03063694267517,9,0.05921052631578947,4.1210191082802545
2017-10-23,22278.1,158,189,109,156,141.0006329113924,6,0.039473684210526314,4.031055900621118
2017-10-24,22071.27,164,193,120,163,134.58091463414635,10,0.06172839506172839,4.333333333333333
2017-10-25,17507.06,154,171,119,151,113.6822077922078,4,0.02631578947368421,4.283870967741936
2017-10-26,22573.15,143,179,103,142,157.85419580419583,8,0.05714285714285714,4.112676056338028
2017-10-27,20377.58,131,156,101,131,155.55404580152674,10,0.07692307692307693,4.068702290076335
2017-10-28,16483.61,86,97,70,83,191.66988372093024,2,0.023529411764705882,4.2011494252873565
2017-10-29,17267.75,130,160,100,127,132.82884615384614,6,0.046511627906976744,4.2
2017-10-30,20221.23,144,169,113,143,140.42520833333333,17,0.12318840579710146,4.08843537414966
2017-10-31,23813.0,157,194,109,156,151.6751592356688,12,0.07692307692307693,4.076433121019108
2017-11-01,19383.61,109,127,81,108,177.83128440366974,6,0.05555555555555555,4.261261261261262
2017-11-02,21263.73,121,145,89,121,175.73330578512397,6,0.05128205128205128,3.9516129032258065
2017-11-03,22844.05,138,169,104,137,165.53659420289856,7,0.050724637681159424,4.062937062937063
2017-11-04,19169.07,111,135,88,110,172.69432432432433,5,0.04716981132075472,4.090909090909091
2017-11-05,17327.44,141,162,109,136,122.88964539007091,4,0.029197080291970802,4.069444444444445
2017-11-06,28600.29,190,209,138,190,150.52784210526318,12,0.06593406593406594,4.036842105263158
2017-11-07,20829.71,157,177,112,156,132.67331210191082,8,0.05194805194805195,4.138364779874214
2017-11-08,19240.51,174,199,118,172,110.57764367816091,11,0.0650887573964497,4.04
2017-11-09,25053.34,188,223,141,188,133.26244680851065,7,0.038461538461538464,4.079365079365079
2017-11-10,20223.84,164,193,126,163,123.3160975609756,11,0.06918238993710692,3.9937888198757765
2017-11-11,23292.07,155,175,113,154,150.2714193548387,10,0.06578947368421052,4.096153846153846
2017-11-12,23087.26,172,186,128,172,134.22825581395347,11,0.06470588235294118,4.14367816091954
2017-11-13,24391.97,202,235,143,201,120.75232673267327,18,0.09137055837563451,4.140394088669951
2017-11-14,27049.68,189,222,139,187,143.12,21,0.11413043478260869,3.9739583333333335
2017-11-15,23711.29,185,216,132,184,128.16913513513515,13,0.07386363636363637,3.9836065573770494
2017-11-16,28268.82,224,257,149,222,126.20008928571428,20,0.091324200913242,4.208888888888889
2017-11-17,29209.07,189,225,131,187,154.54534391534392,19,0.10270270270270271,3.922680412371134
2017-11-18,23233.3,146,171,108,143,159.13219178082193,17,0.12056737588652482,4.003355704697986
2017-11-19,19955.56,158,176,120,155,126.30101265822786,16,0.10191082802547771,4.291139240506329
2017-11-20,44284.47,226,262,162,224,195.94898230088495,31,0.1415525114155251,3.9118942731277535
2017-11-21,34316.64,226,258,157,225,151.84353982300885,44,0.1981981981981982,4.04
2017-11-22,24962.57,198,239,130,195,126.07358585858586,28,0.14736842105263157,3.8208955223880596
2017-11-23,44712.88,277,336,166,273,161.4183393501805,42,0.15671641791044777,3.7615658362989324
2017-11-24,152653.74,1166,1366,383,1151,130.92087478559176,229,0.1996512641673932,3.7302744425385934
2017-11-25,60923.48,498,580,252,491,122.33630522088355,113,0.23203285420944558,3.658215010141988
2017-11-26,45315.28,388,456,222,383,116.7919587628866,78,0.20418848167539266,3.8186528497409324
2017-11-27,47923.66,400,474,229,396,119.80915,84,0.21265822784810126,3.72875
2017-11-28,47886.55,376,431,209,373,127.35784574468086,78,0.21024258760107817,3.886243386243386
2017-11-29,39834.75,319,366,185,318,124.87382445141066,64,0.20382165605095542,3.7547169811320753
2017-11-30,31322.74,264,295,164,261,118.64674242424243,30,0.11538461538461539,3.956603773584906
2017-12-01,39981.91,274,312,178,267,145.91937956204382,33,0.12359550561797752,3.9145454545454546
2017-12-02,31208.13,214,235,143,213,145.8323831775701,26,0.12264150943396226,3.8598130841121496
2017-12-03,29262.920000000002,231,261,139,231,126.67930735930737,26,0.1145374449339207,3.8626609442060085
2017-12-04,47348.52,331,369,197,327,143.04688821752265,50,0.15527950310559005,3.9123867069486407
2017-12-05,33632.37,275,323,177,274,122.29952727272729,31,0.11524163568773234,3.9535714285714287
2017-12-06,39198.74,273,314,164,269,143.5851282051282,33,0.12267657992565056,3.9926739926739927
2017-12-07,28055.78,226,257,142,225,124.14061946902655,27,0.1210762331838565,3.9780701754385963
2017-12-08,29847.46,215,237,137,214,138.82539534883722,25,0.11904761904761904,3.8930232558139535
2017-12-09,20027.04,155,170,110,153,129.20670967741935,14,0.09090909090909091,3.980392156862745
2017-12-10,24695.79,187,205,125,183,132.06304812834225,15,0.08152173913043478,4.0588235294117645
2017-12-11,33990.39,267,296,165,264,127.30483146067415,18,0.06870229007633588,3.988593155893536
2017-12-12,33468.71,258,295,157,256,129.72368217054265,25,0.099601593625498,3.9105058365758754
2017-12-13,29601.28,218,262,143,213,135.78568807339448,10,0.046511627906976744,3.9724770642201834
2017-12-14,25286.23,199,215,137,198,127.0664824120603,11,0.05641025641025641,4.020304568527918
2017-12-15,27382.2,192,208,136,191,142.615625,11,0.05945945945945946,3.979057591623037
2017-12-16,20296.28,131,144,98,130,154.9334351145038,7,0.05426356589147287,4.1484375
2017-12-17,19312.41,133,151,100,130,145.2060902255639,4,0.03076923076923077,4.142857142857143
2017-12-18,29162.11,208,233,134,207,140.20245192307692,14,0.06829268292682927,4.162679425837321
2017-12-19,20615.99,174,201,121,173,118.4827011494253,13,0.07514450867052024,4.258620689655173
