purchase_month,category,gmv_proxy,orders,avg_review,late_rate,active_sellers,gmv_per_seller,gmv_share,gmv_growth
2017-03,perfumery,19808.13,104,4.180952380952381,,14,1414.8664285714287,0.0529142022464346,1.437269754084443
2017-03,pet_shop,8369.960000000001,41,4.333333333333333,,18,464.99777777777786,0.0223589887704981,1.244516729372203
2017-03,signaling_and_security,75.0,1,1.0,,1,75.0,0.0002003503192114,
2017-03,small_appliances,11171.06,31,4.7,,12,930.9216666666666,0.0298416724924087,0.5405001392799913
2017-03,sports_leisure,27001.59,171,4.166666666666667,,62,435.50951612903225,0.0721303623429019,0.6492380968668765
2017-03,stationery,5902.62,56,4.563636363636364,,19,310.6642105263158,0.0157678906824546,1.5209789015119157
2017-03,tablets_printing_image,495.0,5,3.2,,1,495.0,0.0013223121067958,-0.375
2017-03,telephony,8121.05,159,3.808139534883721,,22,369.13863636363635,0.0216940661310991,0.17711901134787333
2017-03,toys,12429.47,100,4.41747572815534,,24,517.8945833333333,0.0332033104283943,0.3218143765938484
2017-03,unknown,6714.17,57,3.918032786885246,,36,186.50472222222223,0.0179358147032023,-0.2567970246067677
2017-03,watches_gifts,26770.38,76,4.1375,,7,3824.34,0.0715127223788368,1.277126727065951
2017-04,air_conditioning,2582.23,14,4.5,,6,430.37166666666667,0.0071743113184295,-0.37077252601850486
2017-04,art,119.9,1,4.0,,1,119.9,0.0003331228926469,-0.46293393057110854
2017-04,audio,942.2,9,3.5454545454545454,,4,235.55,0.0026177513715758,-0.16969958670038854
2017-04,auto,15548.17,81,3.852272727272727,,38,409.16236842105263,0.0431980931256576,0.07361516689257819
2017-04,baby,3980.45,48,3.7450980392156863,,16,248.778125,0.011059041017819,0.06884116345513513
2017-04,bed_bath_table,24347.69,234,4.016483516483516,,26,936.4496153846153,0.0676461461390404,-0.05530318138890988
2017-04,books_general_interest,923.38,12,4.666666666666667,,7,131.91142857142856,0.0025654630242896,-0.6514179149553032
2017-04,books_imported,19.99,1,1.0,,1,19.99,5.55390043704112e-05,-0.7980808080808081
2017-04,books_technical,75.0,1,4.0,,1,75.0,0.0002083754541161,0.0
2017-04,christmas_supplies,69.0,1,5.0,,1,69.0,0.0001917054177868,
2017-04,cine_photo,118.0,2,5.0,,1,118.0,0.0003278440478093,1.0
2017-04,computers_accessories,20691.06,120,3.8296296296296295,,38,544.5015789473684,0.0574867869819129,-0.27715810875959834
2017-04,consoles_games,3772.88,15,4.176470588235294,,8,471.61,0.0104823411110073,-0.6496484301001779
2017-04,cool_stuff,21822.08,119,4.0,,37,589.785945945946,0.0606291443967715,0.03445663731245152
2017-04,costruction_tools_garden,1490.21,7,4.375,,3,496.7366666666667,0.0041403091397113,1.5694161867650607
2017-04,costruction_tools_tools,729.0,1,5.0,,1,729.0,0.0020254094140084,
2017-04,drinks,199.93,2,1.0,,1,199.93,0.0005554733938857,-0.5689956237739022
2017-04,dvds_blu_ray,1434.9,2,5.0,,2,717.45,0.0039866391881492,-0.23418903773282806
2017-04,electronics,4822.24,47,4.166666666666667,,16,301.39,0.0133978193314243,0.20979427997992972
2017-04,fashio_female_clothing,64.9,1,2.0,,1,64.9,0.0001803142262951,2.2613065326633173
2017-04,fashion_bags_accessories,3219.8,46,4.12,,18,178.8777777777778,0.0089456971621735,-0.3376478042277974
2017-04,fashion_male_clothing,416.69,6,3.4285714285714284,,3,138.89666666666668,0.0011577062396751,-0.28255853994490354
