days_since_won,at_risk,events,censored,survival,cumulative_activation,metric_version
88.2497,451,1,0,0.6035015082047802,0.3964984917952198,v3
88.3124,450,1,0,0.602160393742103,0.39783960625789705,v3
88.4161,449,1,0,0.6008192792794257,0.3991807207205743,v3
88.8714,448,1,0,0.5994781648167483,0.4005218351832517,v3
89.3833,447,0,1,0.5994781648167483,0.4005218351832517,v3
89.4188,446,0,1,0.5994781648167483,0.4005218351832517,v3
90.0797,445,1,0,0.5981310228733399,0.40186897712666014,v3
90.3019,444,1,0,0.5967838809299314,0.4032161190700686,v3
90.6266,443,1,0,0.595436738986523,0.40456326101347695,v3
90.7033,442,1,0,0.5940895970431146,0.4059104029568854,v3
91.7673,441,1,0,0.5927424550997061,0.40725754490029387,v3
92.393,440,1,0,0.5913953131562977,0.4086046868437023,v3
92.5125,439,1,0,0.5900481712128892,0.4099518287871108,v3
93.029,438,1,0,0.5887010292694808,0.41129897073051924,v3
93.3009,437,0,1,0.5887010292694808,0.41129897073051924,v3
93.4576,436,0,1,0.5887010292694808,0.41129897073051924,v3
95.115,435,0,1,0.5887010292694808,0.41129897073051924,v3
95.3177,434,0,1,0.5887010292694808,0.41129897073051924,v3
96.0173,433,1,0,0.587341442596803,0.412658557403197,v3
96.1754,432,0,1,0.587341442596803,0.412658557403197,v3
97.7278,431,1,0,0.5859787014306851,0.4140212985693149,v3
97.9006,430,1,0,0.5846159602645672,0.4153840397354328,v3
97.9798,429,1,0,0.5832532190984493,0.4167467809015507,v3
98.0455,428,1,0,0.5818904779323314,0.4181095220676686,v3
98.3384,427,1,0,0.5805277367662135,0.4194722632337865,v3
99.1675,426,1,0,0.5791649956000956,0.4208350043999044,v3
99.2302,425,1,0,0.5778022544339777,0.4221977455660223,v3
100.2632,424,0,1,0.5778022544339777,0.4221977455660223,v3
101.0003,423,1,0,0.5764362916575381,0.42356370834246193,v3
101.2693,422,0,1,0.5764362916575381,0.42356370834246193,v3
102.151,421,0,1,0.5764362916575381,0.42356370834246193,v3
102.8784,420,1,0,0.5750638242964486,0.42493617570355136,v3
103.0632,419,0,1,0.5750638242964486,0.42493617570355136,v3
103.1656,418,0,1,0.5750638242964486,0.42493617570355136,v3
103.438,417,0,1,0.5750638242964486,0.42493617570355136,v3
103.9511,416,1,0,0.5736814593341976,0.42631854066580244,v3
104.0195,415,1,0,0.5722990943719465,0.4277009056280535,v3
104.1455,414,0,1,0.5722990943719465,0.4277009056280535,v3
104.4153,413,0,1,0.5722990943719465,0.4277009056280535,v3
104.7657,412,1,0,0.5709100189001699,0.4290899810998301,v3
105.4934,411,1,0,0.5695209434283933,0.4304790565716067,v3
105.8401,410,1,0,0.5681318679566167,0.43186813204338326,v3
