seller_id,month,orders,items,gmv_proxy,aov,active_flag,customer_count,category_count,avg_review_score_proxy,review_eligible_orders
01fd077212124329bac32490e8ef80d9,2018-07,6,7,266.0,44.333333333333336,1,6,2,4.0,5.0
01fd077212124329bac32490e8ef80d9,2018-08,11,13,470.0,42.72727272727273,1,11,4,4.818181818181818,11.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-04,1,1,64.9,64.9,1,1,1,5.0,1.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-05,4,4,346.78,86.695,1,4,1,5.0,4.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-06,5,5,366.59000000000003,73.31800000000001,1,5,1,3.25,4.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-07,10,10,1361.37,136.137,1,10,1,4.4,10.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-08,8,8,1085.39,135.67375,1,8,1,4.0,8.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-09,6,6,797.5,132.91666666666666,1,6,1,4.5,6.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-10,8,9,909.46,113.6825,1,8,1,4.625,8.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-11,9,9,1169.56,129.95111111111112,1,9,1,3.888888888888889,9.0
01fdefa7697d26ad920e9e0346d4bd1b,2017-12,15,15,1993.42,132.89466666666667,1,15,1,4.666666666666667,15.0
01fdefa7697d26ad920e9e0346d4bd1b,2018-01,12,13,1675.8,139.65,1,12,1,4.416666666666667,12.0
01fdefa7697d26ad920e9e0346d4bd1b,2018-02,7,7,778.3000000000001,111.1857142857143,1,7,1,4.285714285714286,7.0
01fdefa7697d26ad920e9e0346d4bd1b,2018-03,5,5,518.5,103.7,1,5,1,3.6,5.0
01fdefa7697d26ad920e9e0346d4bd1b,2018-04,4,4,389.69,97.4225,1,4,1,4.5,4.0
01fdefa7697d26ad920e9e0346d4bd1b,2018-05,3,3,320.8,106.93333333333334,1,3,1,4.333333333333333,3.0
01fdefa7697d26ad920e9e0346d4bd1b,2018-06,8,8,719.2,89.9,1,8,1,4.714285714285714,8.0
01fdefa7697d26ad920e9e0346d4bd1b,2018-07,7,7,604.3000000000001,86.32857142857144,1,7,1,4.0,7.0
01fdefa7697d26ad920e9e0346d4bd1b,2018-08,17,17,1819.8700000000001,107.05117647058825,1,17,1,4.470588235294118,17.0
